,OWNER_MEANING,SPGRP_NAME,REMCLASSCD_MEANING,SOURCECD_MEANING,PRODCD_MEANING,MCFVOL,RPA_STD_AMOUNT,RPA_STD_AMOUNT_UOM_MEANING,SAWREMVOL,GREEN_TONS
69,National Forest,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Miscellaneous,20.74126899,20.74126899,Thousand cubic feet (M cu. ft.),,725.9444146
70,National Forest,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,"Poles, Posts, Pilings",284.979117,284.979117,Thousand cubic feet (M cu. ft.),,8549.37351
71,National Forest,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Saw logs,35.16590427,208.9423341,Thousand board feet (MBF) - International 1/4-inch rule,,1221.339075
72,National Forest,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Veneer logs,7.211515458,42.67263603,Thousand board feet (MBF) - International 1/4-inch rule,,249.314876
73,National Forest,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Pulpwood,2288.933798,30376.3809,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,82016.22842
74,National Forest,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Composite panel,1151.469395,14821.96888,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,40019.31597
75,National Forest,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,193.5328011,2513.413001,Thousand cubic feet (M cu. ft.),,6786.215103
76,National Forest,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Miscellaneous,24.01746702,24.01746702,Thousand cubic feet (M cu. ft.),,840.6113457
77,National Forest,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,"Poles, Posts, Pilings",329.993143,329.993143,Thousand cubic feet (M cu. ft.),,9899.79429
78,National Forest,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Saw logs,67.27449264,399.7192681,Thousand board feet (MBF) - International 1/4-inch rule,,2336.495202
79,National Forest,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Veneer logs,28.67500702,169.678363,Thousand board feet (MBF) - International 1/4-inch rule,,991.3458359
80,National Forest,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Pulpwood,353.9589458,4697.379963,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,12682.9259
81,National Forest,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Composite panel,176.1409035,2267.324689,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,6121.77666
82,National Forest,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,696.718085,9048.286818,Thousand cubic feet (M cu. ft.),,24430.37441
83,National Forest,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Miscellaneous,0.544275068,0.544275068,Thousand cubic feet (M cu. ft.),,19.0496274
84,National Forest,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,"Poles, Posts, Pilings",7.478184121,7.478184121,Thousand cubic feet (M cu. ft.),,224.3455236
85,National Forest,Loblolly-Shortleaf pine,Logging residues,Sawtimber growing stock,Not Used,392.8230836,392.8230836,Thousand cubic feet (M cu. ft.),13086.32063,13748.80793
86,National Forest,Loblolly-Shortleaf pine,Logging residues,Poletimber growing stock,Not Used,261.9790443,261.9790443,Thousand cubic feet (M cu. ft.),13086.32063,9169.26655
87,National Forest,Loblolly-Shortleaf pine,Logging residues,Nongrowing-stock,Not Used,1362.709769,1362.709769,Thousand cubic feet (M cu. ft.),13086.32063,47694.84191
88,National Forest,Longleaf-Slash pine,Roundwood product,Sawtimber growing stock,Saw logs,17.81080844,105.8189835,Thousand board feet (MBF) - International 1/4-inch rule,,618.3489762
89,National Forest,Longleaf-Slash pine,Roundwood product,Sawtimber growing stock,Veneer logs,3.187550671,18.86162272,Thousand board feet (MBF) - International 1/4-inch rule,,110.1990307
90,National Forest,Longleaf-Slash pine,Roundwood product,Sawtimber growing stock,Pulpwood,8.963924747,119.2788576,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,322.0529154
91,National Forest,Longleaf-Slash pine,Roundwood product,Sawtimber growing stock,Composite panel,0.788490281,10.14914969,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,27.40270416
92,National Forest,Longleaf-Slash pine,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,1.136006977,14.75333736,Thousand cubic feet (M cu. ft.),,39.83401087
93,National Forest,Longleaf-Slash pine,Roundwood product,Sawtimber growing stock,Miscellaneous,0.077557549,0.077557549,Thousand cubic feet (M cu. ft.),,2.714514214
94,National Forest,Longleaf-Slash pine,Roundwood product,Sawtimber growing stock,"Poles, Posts, Pilings",0.599209944,0.599209944,Thousand cubic feet (M cu. ft.),,17.97629833
95,National Forest,Longleaf-Slash pine,Roundwood product,Poletimber growing stock,Saw logs,0.233576447,1.387742855,Thousand board feet (MBF) - International 1/4-inch rule,,8.109219589
96,National Forest,Longleaf-Slash pine,Roundwood product,Poletimber growing stock,Veneer logs,0.01646806,0.097446088,Thousand board feet (MBF) - International 1/4-inch rule,,0.569328768
97,National Forest,Longleaf-Slash pine,Roundwood product,Poletimber growing stock,Pulpwood,11.82855618,157.3972013,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,424.9724436
98,National Forest,Longleaf-Slash pine,Roundwood product,Poletimber growing stock,Composite panel,3.240939711,41.71615436,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,112.6336168
99,National Forest,Longleaf-Slash pine,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,0.945302473,12.2766555,Thousand cubic feet (M cu. ft.),,33.14696984
100,National Forest,Longleaf-Slash pine,Roundwood product,Poletimber growing stock,Miscellaneous,0.089808192,0.089808192,Thousand cubic feet (M cu. ft.),,3.143286731
101,National Forest,Longleaf-Slash pine,Roundwood product,Poletimber growing stock,"Poles, Posts, Pilings",0.693858466,0.693858466,Thousand cubic feet (M cu. ft.),,20.81575397
102,National Forest,Longleaf-Slash pine,Roundwood product,Nongrowing-stock,Saw logs,0.446845809,2.654835655,Thousand board feet (MBF) - International 1/4-inch rule,,15.51342543
103,National Forest,Longleaf-Slash pine,Roundwood product,Nongrowing-stock,Veneer logs,0.065481625,0.387472961,Thousand board feet (MBF) - International 1/4-inch rule,,2.263810776
104,National Forest,Longleaf-Slash pine,Roundwood product,Nongrowing-stock,Pulpwood,1.829158747,24.33978104,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,65.71740881
105,National Forest,Longleaf-Slash pine,Roundwood product,Nongrowing-stock,Composite panel,0.495768321,6.381342957,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,17.22962598
106,National Forest,Longleaf-Slash pine,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,3.403088909,44.19595986,Thousand cubic feet (M cu. ft.),,119.3290916
